id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,player_box
244000063,s:40~l:41~e:244000063~c:244000063,2004-04-06T01:21Z,44468,TRUE,FALSE,FALSE,FALSE,2004-04-06T01:21Z,event,CHAMPIONSHIP,,,3604,Alamodome,San Antonio,TX,68000,TRUE,11,0:11,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,82,TRUE,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,73,FALSE,244000063,2004,3,,,,,,22,2004-04-06T01:21:00Z,2004-04-05,FALSE
244000062,s:40~l:41~e:244000062~c:244000062,2004-04-04T01:47Z,44417,TRUE,FALSE,FALSE,FALSE,2004-04-04T01:47Z,event,FINAL FOUR,,,,,,,,,3,0:03,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,78,FALSE,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,79,TRUE,244000062,2004,3,,,,,,22,2004-04-04T01:47:00Z,2004-04-03,FALSE
244000031,s:40~l:41~e:244000031~c:244000031,2004-04-03T23:07Z,44417,TRUE,FALSE,FALSE,FALSE,2004-04-03T23:07Z,event,FINAL FOUR,,,,,,,,,6,0:06,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma St,ff6500,000000,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,65,FALSE,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,67,TRUE,244000031,2004,3,,,,,,22,2004-04-03T23:07:00Z,2004-04-03,FALSE
240920130,s:40~l:41~e:240920130~c:240920130,2004-04-02T00:00Z,16064,TRUE,FALSE,FALSE,FALSE,2004-04-02T00:00Z,event,NIT CHAMPIONSHIP,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,62,TRUE,164,s:40~l:41~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,TRUE,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,4,55,FALSE,240920130,2004,3,,,,,,,2004-04-02T00:00:00Z,2004-04-01,FALSE
240900130,s:40~l:41~e:240900130~c:240900130,2004-03-31T02:00Z,12630,TRUE,FALSE,FALSE,FALSE,2004-03-31T02:00Z,event,NIT SEMIFINALS,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,10,0:10,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,78,TRUE,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,53,FALSE,240900130,2004,3,,,,,,,2004-03-31T02:00:00Z,2004-03-30,FALSE
240900066,s:40~l:41~e:240900066~c:240900066,2004-03-31T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-03-31T00:00Z,event,NIT SEMIFINALS,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,9,0:09,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,66,s:40~l:41~t:66,Iowa State,Cyclones,ISU,Iowa State Cyclones,Iowa State,822433,fdca2f,TRUE,432,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,8,81,FALSE,164,s:40~l:41~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,TRUE,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,4,84,TRUE,240900066,2004,3,OT,,,,,,2004-03-31T00:00:00Z,2004-03-30,FALSE
244000030,s:40~l:41~e:244000030~c:244000030,2004-03-28T22:05Z,24711,TRUE,FALSE,FALSE,FALSE,2004-03-28T22:05Z,event,ATLANTA REGION,,,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,66,TRUE,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,TRUE,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,63,FALSE,244000030,2004,3,,,,,,22,2004-03-28T22:05:00Z,2004-03-28,FALSE
244000061,s:40~l:41~e:244000061~c:244000061,2004-03-28T19:40Z,30648,TRUE,FALSE,FALSE,FALSE,2004-03-28T19:40Z,event,ST LOUIS REGION,,,3494,The Dome at America's Center,St. Louis,MO,0,TRUE,20,0:20,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,79,TRUE,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,71,FALSE,244000061,2004,3,OT,,,,,22,2004-03-28T19:40:00Z,2004-03-28,FALSE
244000015,s:40~l:41~e:244000015~c:244000015,2004-03-28T00:05Z,19779,TRUE,FALSE,FALSE,FALSE,2004-03-28T00:05Z,event,EAST RUTHERFORD REGION,,,2562,IZOD Center,East Rutherford,NJ,0,TRUE,7,0:07,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2603,s:40~l:41~t:2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,TRUE,2150,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,3,62,FALSE,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma St,ff6500,000000,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,64,TRUE,244000015,2004,3,,,,,,22,2004-03-28T00:05:00Z,2004-03-27,FALSE
244000046,s:40~l:41~e:244000046~c:244000046,2004-03-27T21:40Z,17889,TRUE,FALSE,FALSE,FALSE,2004-03-27T21:40Z,event,PHOENIX REGION,,,1949,Footprint Center,Phoenix,AZ,17071,TRUE,5,0:05,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,87,TRUE,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,9e1632,ffffff,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,71,FALSE,244000046,2004,3,,,,,,22,2004-03-27T21:40:00Z,2004-03-27,FALSE
