season,row_count,generated_at_utc,source_endpoint
2026,32715,2026-05-30 15:13:01 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2026/<team_id>.json
2003,23400,2026-05-30 17:44:43 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2003/<team_id>.json
2004,24390,2026-05-30 17:48:51 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2004/<team_id>.json
2005,24300,2026-05-30 17:52:51 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2005/<team_id>.json
2006,24660,2026-05-30 17:57:15 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2006/<team_id>.json
2007,25290,2026-05-30 18:01:19 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2007/<team_id>.json
2008,24570,2026-05-30 18:05:18 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2008/<team_id>.json
2009,24885,2026-05-30 18:09:19 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2009/<team_id>.json
2010,27495,2026-05-30 18:13:20 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2010/<team_id>.json
2011,27270,2026-05-30 18:17:28 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2011/<team_id>.json
2012,27180,2026-05-30 18:21:30 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2012/<team_id>.json
2013,26280,2026-05-30 18:25:34 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2013/<team_id>.json
2014,27495,2026-05-30 18:29:36 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2014/<team_id>.json
2015,27810,2026-05-30 18:33:41 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2015/<team_id>.json
2016,28800,2026-05-30 18:37:53 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2016/<team_id>.json
2017,27360,2026-05-30 18:42:08 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2017/<team_id>.json
2018,27810,2026-05-30 18:46:08 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2018/<team_id>.json
2019,26865,2026-05-30 18:50:09 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2019/<team_id>.json
2020,29880,2026-05-30 18:54:08 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2020/<team_id>.json
2021,22185,2026-05-30 18:58:08 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2021/<team_id>.json
2022,30555,2026-05-30 19:02:07 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2022/<team_id>.json
2023,31770,2026-05-30 19:06:07 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2023/<team_id>.json
2024,32265,2026-05-30 19:10:08 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2024/<team_id>.json
2025,31500,2026-05-30 19:14:07 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2025/<team_id>.json
2025,31500,2026-06-03 00:49:07 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/team_stats/json/2025/<team_id>.json
