id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_json,game_json_url,game_date_time,game_date,PBP,team_box,player_box
260560012,s:40~l:41~e:260560012~c:260560012,2006-02-25T21:00Z,14611,TRUE,FALSE,TRUE,FALSE,2006-02-25T21:00Z,"","",0,N/A,1064,McKale Center,Tucson,AZ,14644,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,TRUE,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,68,TRUE,9,s:40~l:41~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona St,942139,f1f2f3,TRUE,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,47,FALSE,260560012,2006,2,,21,Pac-12 Conference,Pac-12,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560012.json,2006-02-25T21:00:00Z,2006-02-25,TRUE,TRUE,TRUE
260560152,s:40~l:41~e:260560152~c:260560152,2006-02-25T20:45Z,19287,TRUE,FALSE,TRUE,FALSE,2006-02-25T20:45Z,"","",0,N/A,999,PNC Arena,Raleigh,NC,19722,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final/2OT,Final/2OT,2,152,s:40~l:41~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,TRUE,999,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,72,FALSE,103,s:40~l:41~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,8c2232,dbcca6,TRUE,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,74,TRUE,260560152,2006,2,2OT,2,Atlantic Coast Conference,ACC,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560152.json,2006-02-25T20:45:00Z,2006-02-25,TRUE,TRUE,TRUE
260560099,s:40~l:41~e:260560099~c:260560099,2006-02-25T20:45Z,11576,TRUE,FALSE,TRUE,FALSE,2006-02-25T20:45Z,"","",0,N/A,557,Pete Maravich Assembly Center,Baton Rouge,LA,13215,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,99,s:40~l:41~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,71,TRUE,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,67,FALSE,260560099,2006,2,,23,Southeastern Conference,SEC,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560099.json,2006-02-25T20:45:00Z,2006-02-25,TRUE,TRUE,TRUE
260560213,s:40~l:41~e:260560213~c:260560213,2006-02-25T20:30Z,11005,TRUE,FALSE,TRUE,FALSE,2006-02-25T20:30Z,"","",0,N/A,1942,Bryce Jordan Center,University Park,PA,15104,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,213,s:40~l:41~t:213,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Penn State,00265D,002e5c,TRUE,1942,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,7,68,TRUE,77,s:40~l:41~t:77,Northwestern,Wildcats,NU,Northwestern Wildcats,Northwestern,582c83,ffffff,TRUE,1990,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,7,55,FALSE,260560213,2006,2,,7,Big Ten Conference,Big Ten,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560213.json,2006-02-25T20:30:00Z,2006-02-25,TRUE,TRUE,TRUE
260560305,s:40~l:41~e:260560305~c:260560305,2006-02-25T20:00Z,9846,TRUE,FALSE,TRUE,FALSE,2006-02-25T20:00Z,"","",0,N/A,977,Allstate Arena,Rosemont,IL,18500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,67,TRUE,2550,s:40~l:41~t:2550,Seton Hall,Pirates,HALL,Seton Hall Pirates,Seton Hall,0857B1,8a8d8f,TRUE,1826,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png,4,64,FALSE,260560305,2006,2,,4,Big East Conference,Big East,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560305.json,2006-02-25T20:00:00Z,2006-02-25,TRUE,TRUE,TRUE
260560218,s:40~l:41~e:260560218~c:260560218,2006-02-25T19:30Z,20313,TRUE,FALSE,FALSE,FALSE,2006-02-25T19:30Z,"","",0,N/A,1845,Wells Fargo Center,Philadelphia,PA,21000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,218,s:40~l:41~t:218,Temple,Owls,TEM,Temple Owls,Temple,A80532,a7a9ac,TRUE,2011,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,3,66,FALSE,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,74,TRUE,260560218,2006,2,,,,,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560218.json,2006-02-25T19:30:00Z,2006-02-25,TRUE,TRUE,TRUE
260560194,s:40~l:41~e:260560194~c:260560194,2006-02-25T18:30Z,18500,TRUE,FALSE,TRUE,FALSE,2006-02-25T18:30Z,"","",0,N/A,317,Value City Arena,Columbus,OH,19049,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ce1141,505056,TRUE,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,64,TRUE,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,54,FALSE,260560194,2006,2,,7,Big Ten Conference,Big Ten,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560194.json,2006-02-25T18:30:00Z,2006-02-25,TRUE,FALSE,FALSE
260560277,s:40~l:41~e:260560277~c:260560277,2006-02-25T18:30Z,12483,TRUE,FALSE,TRUE,FALSE,2006-02-25T18:30Z,"","",0,N/A,2199,WVU Coliseum,Morgantown,WV,14000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,277,s:40~l:41~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,TRUE,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,4,68,TRUE,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,64,FALSE,260560277,2006,2,,4,Big East Conference,Big East,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560277.json,2006-02-25T18:30:00Z,2006-02-25,TRUE,TRUE,TRUE
260560038,s:40~l:41~e:260560038~c:260560038,2006-02-25T18:30Z,7081,TRUE,FALSE,TRUE,FALSE,2006-02-25T18:30Z,"","",0,N/A,2207,CU Events Center,Boulder,CO,11064,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,38,s:40~l:41~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,000000,cfb87c,TRUE,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,8,78,TRUE,142,s:40~l:41~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Missouri,f1b82d,000000,TRUE,2071,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,8,60,FALSE,260560038,2006,2,,8,Big 12 Conference,Big 12,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260560038.json,2006-02-25T18:30:00Z,2006-02-25,TRUE,TRUE,TRUE
260562633,s:40~l:41~e:260562633~c:260562633,2006-02-25T18:00Z,22543,TRUE,FALSE,TRUE,FALSE,2006-02-25T18:00Z,"","",0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,ff8200,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,69,FALSE,8,s:40~l:41~t:8,Arkansas,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,a41f35,222222,TRUE,2142,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,23,73,TRUE,260562633,2006,2,,23,Southeastern Conference,SEC,TRUE,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260562633.json,2006-02-25T18:00:00Z,2006-02-25,TRUE,TRUE,TRUE
